L18 | 2024-11-11: Semester 2: Lesson 4

S1 | Prepositions
1 | u brdo | to a hill (where e.g. your house is)
2 | na brdo | to a hill (if you want to hike)
3 | na trg | to a square
4 | u kupovinu | to go shopping

S2 | Vocabulary
1 | dućan | shop
2 | rezevirati | to reserve
3 | riba | fish
4 | predjelo | appetizer
5 | palačinke | pancake
6 | kolač | cake, pastry
7 | ulaznica | ticket (for concert)
8 | karta | ticket (for e.g. tram)
9 | paket | package
10 | namirnica | grocery
11 | poseban | special
12 | gost | guest
13 | gaziran | sparkling
14 | smjeti (smijem) | to be allowed, to may
15 | obično | usually
16 | razglednica | postcard
17 | koga | who
18 | kost, kosti (f.) | bone, bones
19 | po noći | at night

S3 | Foods
1 | slatkiš | sweet
2 | keks | biscuit
3 | frape | frappe
4 | šejk | shake
5 | mlijeko | milk
6 | mliječan proizvod | dairy product
7 | krastavac | cucumber
8 | voćni jogurt | fruit yoghurt
9 | sir | cheese
10 | povrće | vegetable
11 | mrkva | carrot
12 | brokula | broccoli
13 | šparoga | asparagus
14 | grašak | pea
15 | mahuna | green bean
16 | kukuruz | corn
17 | tortilja | tortilla
18 | kreker | cracker
19 | pahuljice | sweet cereal
20 | žitarice / žitne pahuljice | non-sweet cereal
21 | zobene pahuljice | oat meal
22 | naranča | orange
23 | grožđe | grape
24 | mafin | muffin
25 | krafna | donut
26 | riža | rice
27 | tjestenina | pasta
28 | jagoda | strawberry
29 | voćka, voće | fruit, fruits
30 | dinja | melon
31 | kikirik | peanut
32 | meso | meat
33 | kikiriki maslac | peanut butter
34 | piletina | chicken
35 | bombon | candy
36 | lizalica | lollipop
37 | čips | crisps
38 | majoneza | mayonnaise
39 | patlidžan | eggplant



